dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
sst1,gmm-is,0.29992033432002585,roberta,0.5262750954,0.5179677057,0.5194707874,0.5244685205,0.5031791011,0.5010276223,0.4799285908,0.5344168498,0.5247163367,0.5125381483,
sst1,no-is,0.0,roberta,0.5245960686,0.5284771442,0.5106333327,0.5196933254,0.5208593691,0.4841149411,0.4748717137,0.5321338980,0.5235048052,0.5476946458,
sst1,sublinear-ae-is,0.2499648545132861,roberta,0.5204116632,0.5113282239,0.4556443344,0.5131742994,0.4806192920,0.4630854350,0.4891668343,0.5383632167,0.5139038444,0.5157460392,
sst2,adaptive-cluster-is,0.4286324719180565,roberta,0.9178402665,0.9041654214,0.9216342650,0.9136301374,0.8861326136,0.9094657737,0.9094029875,0.9166970059,0.9248494643,0.9229667663,
sst2,adaptive-perplexity,0.36035696636718684,roberta,0.9040636165,0.9137190829,0.8879792095,0.9113811992,0.8923719958,0.9110786712,0.9312500000,0.9020960680,0.9312887290,0.9082091626,
sst2,autoencoder-is,0.24989308529720827,roberta,0.9018525031,0.9136070563,0.9291067906,0.9206923511,0.8969732374,0.9048304652,0.9344089132,0.9145833333,0.9249544469,0.9120553963,
sst2,biois,0.32148596473311164,roberta,0.9186231130,0.9167589644,0.9116377331,0.9153373032,0.9042289527,0.9101478582,0.9196021230,0.9228698482,0.9313089699,0.9154458210,
sst2,entropy-sublinear-ae-is,0.29854270600011873,roberta,0.9230649519,0.9136429365,0.9281899270,0.9218069404,0.9021673208,0.9312195820,0.9291924551,0.9343705183,0.9076365225,0.9217444553,
sst2,gmm-is,0.2999410528891098,roberta,0.9196352917,0.9062305053,0.9157340370,0.9176652275,0.9077405109,0.9094128036,0.9155514957,0.9155808029,0.9034752913,0.9248135334,
sst2,no-is,0.0,roberta,0.9124059107,0.9209487192,0.9260476724,0.9197625308,0.9094029875,0.9250188558,0.9125864130,0.9229447305,0.9291666667,0.9240108016,
sst2,sublinear-ae-is,0.24995087807560804,roberta,0.9131053681,0.9155440667,0.9282178833,0.9247749511,0.9113103827,0.9120837472,0.9279723660,0.9140309306,0.9333576048,0.9299301227,
subj,adaptive-cluster-is,0.4215777777777778,roberta,0.9529988250,0.9639994240,0.9629996670,0.9689997210,0.9529706066,0.9649999650,0.9619961996,0.9479991680,0.8415766294,0.9589989750,
subj,adaptive-perplexity,0.35863333333333336,roberta,0.9609996490,0.9519675301,0.9689984809,0.9659912938,0.9579998320,0.9649744664,0.9559992960,0.9429378593,0.9609756098,0.9649957645,
subj,autoencoder-is,0.24988888888888888,roberta,0.9649996850,0.9569978929,0.9709934735,0.9659994560,0.9709992750,0.9639994240,0.9559913743,0.9368225345,0.9689910384,0.9589907729,
subj,biois,0.2891,roberta,0.9529894226,0.9439495546,0.9599870358,0.9719989920,0.9649971648,0.9659987760,0.9609968407,0.9479166667,0.9599897574,0.9559992960,
subj,entropy-sublinear-ae-is,0.26332222222222224,roberta,0.9639987040,0.9559823930,0.9709964906,0.9699956794,0.9649898821,0.9609952804,0.9619961996,0.9629981869,0.9679998720,0.9559887331,
subj,gmm-is,0.3,roberta,0.9609999610,0.9589999590,0.9699902768,0.9609793581,0.9499487475,0.9619993920,0.9589996310,0.9619998480,0.9709992750,0.9609912230,
subj,no-is,0.0,roberta,0.9589851937,0.9338600479,0.9629688568,0.9629916731,0.9609793581,0.9659978239,0.9509328270,0.9579831933,0.9619993920,0.9569875694,
subj,sublinear-ae-is,0.24993333333333334,roberta,0.9619986320,0.9639998560,0.9629999630,0.9699989200,0.9398614408,0.9609996490,0.9569686301,0.9640000000,0.9599921585,0.9609934079,
trec,adaptive-cluster-is,0.39699061330209034,roberta,0.9379160206,0.9086112891,0.9578365837,0.9486356161,0.9205340731,0.9141449289,0.9266152131,0.9219949291,0.9650964142,0.9632578205,
trec,adaptive-perplexity,0.30941973140194867,roberta,0.9406960199,0.9649828235,0.9530315939,0.9417150756,0.9406266781,0.9363405539,0.9511273175,0.9392865652,0.9584233525,0.9589520360,
trec,autoencoder-is,0.2497759870559456,roberta,0.9253799287,0.9505476500,0.9590950136,0.9512023102,0.9523364638,0.9285969744,0.9490574386,0.9535269726,0.9359107493,0.9426741913,
trec,biois,0.3634633124695125,roberta,0.9454606964,0.9490607337,0.9385291635,0.9629987758,0.9317602277,0.9360394426,0.9543075578,0.8926356198,0.9239824228,0.9483336586,
trec,entropy-sublinear-ae-is,0.23934044962632908,roberta,0.9582905670,0.9453165164,0.9586968669,0.9518534477,0.9491313807,0.9274390355,0.9712678900,0.9438807355,0.9631476649,0.9636102080,
trec,gmm-is,0.2998058559131903,roberta,0.9445577447,0.9545455703,0.9541914214,0.9578845870,0.9420590237,0.9286830146,0.9416770334,0.9395227304,0.9669640100,0.9508217981,
trec,no-is,0.0,roberta,0.9420596556,0.9497835219,0.9597825032,0.9674702272,0.9500074797,0.9145096580,0.9366327702,0.9279918256,0.9698239874,0.9727104249,
trec,sublinear-ae-is,0.24996265521524189,roberta,0.9421629301,0.9439873948,0.9519506828,0.9452955123,0.9521715216,0.9298977650,0.9563668136,0.9296500499,0.9541264311,0.9742768147,
twitter,adaptive-cluster-is,0.4142565103183665,roberta,0.7273264220,0.8017154025,0.7332488763,0.7478239497,0.7840622235,0.7135739477,0.7021685493,0.7377499037,0.7996048032,0.7670233803,
twitter,adaptive-perplexity,0.33534999023916834,roberta,0.7604907978,0.7796908562,0.7341436276,0.7591558973,0.7846047997,0.7038855659,0.7652028066,0.7647156852,0.7952738311,0.7516983373,
twitter,autoencoder-is,0.24978959368766943,roberta,0.7779690958,0.7729377135,0.7737548008,0.7865915762,0.7892662992,0.7311187220,0.7389461494,0.7671066014,0.7896352794,0.7974674355,
twitter,biois,0.30336812738230734,roberta,0.7518711459,0.8179529721,0.7664819372,0.7669378093,0.7993524942,0.7131737202,0.7334464228,0.7682024953,0.7820447760,0.7584969792,
twitter,entropy-sublinear-ae-is,0.29935083535421125,roberta,0.7498541169,0.8018062706,0.7444403775,0.7114478021,0.8169883278,0.7521213098,0.7420626130,0.7790616135,0.7736693683,0.7775017454,
twitter,gmm-is,0.29985866588116056,roberta,0.7859369606,0.7920467351,0.7661576552,0.7474362976,0.8317076929,0.7248642936,0.7228141875,0.7423130285,0.7660123998,0.7669144856,
twitter,no-is,0.0,roberta,0.7932520057,0.7802954750,0.7441325786,0.7763087284,0.8245233005,0.7008080950,0.7175889530,0.7426836635,0.7629598546,0.7458053049,
twitter,sublinear-ae-is,0.24986899405640747,roberta,0.7548878780,0.8039964558,0.7772276206,0.7739921466,0.7788775872,0.7528479765,0.7676628046,0.7395247321,0.7931695589,0.7463457177,
vader_movie,adaptive-cluster-is,0.4217244898181104,roberta,0.8757408810,0.9044650848,0.9042954410,0.9042322532,0.8930840917,0.9006618960,0.8948855153,0.8693139629,0.8985628116,0.8833946339,
