dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
trec,biois,0.3634633124695125,modernbert,272.25,387.24,233.93,387.30,233.68,233.70,311.52,310.44,352.14,310.93,
trec,biois,0.3634633124695125,roberta,185.04,273.50,153.68,275.19,213.47,183.67,214.36,183.90,214.16,213.69,
trec,entropy-sublinear-ae-is,0.23934044962632908,modernbert,285.95,325.67,292.26,273.64,424.70,281.79,323.61,327.18,282.95,225.89,
trec,entropy-sublinear-ae-is,0.23934044962632908,roberta,246.62,207.13,247.27,235.51,210.57,278.00,239.63,242.28,277.88,232.72,
trec,gmm-is,0.2998058559131903,roberta,238.12,236.87,172.59,335.70,236.93,204.97,205.25,206.08,204.28,236.80,
trec,no-is,0.0,modernbert,303.05,301.88,301.81,483.51,482.67,362.08,362.04,303.34,362.78,362.05,
trec,no-is,0.0,roberta,284.71,283.41,284.94,331.97,377.60,285.59,330.99,377.59,330.43,283.54,
trec,sublinear-ae-is,0.24996265521524189,modernbert,279.03,457.57,366.56,231.33,276.43,366.79,324.79,322.11,276.45,322.03,
trec,sublinear-ae-is,0.24996265521524189,roberta,239.79,238.30,271.52,240.12,238.34,204.85,240.47,238.38,238.25,238.26,
twitter,adaptive-cluster-is,0.4142565103183665,roberta,208.30,266.85,205.74,197.97,201.72,198.06,201.10,174.02,195.37,190.64,
twitter,adaptive-perplexity,0.33534999023916834,roberta,223.38,187.60,185.64,223.39,224.65,225.32,191.36,223.08,186.79,224.95,
twitter,autoencoder-is,0.24978959368766943,modernbert,326.67,271.45,272.38,271.56,271.48,325.09,273.20,324.73,327.16,325.07,
twitter,autoencoder-is,0.24978959368766943,roberta,241.39,240.28,203.70,279.41,240.18,240.43,203.77,201.18,242.64,240.42,
twitter,biois,0.30336812738230734,modernbert,301.32,250.64,250.93,250.45,250.27,300.42,250.41,250.50,251.72,250.48,
twitter,biois,0.30336812738230734,roberta,196.89,235.23,236.59,234.84,273.56,196.43,234.57,196.47,237.08,196.15,
twitter,entropy-sublinear-ae-is,0.29935083535421125,modernbert,261.39,249.26,254.12,306.12,306.46,301.29,251.66,253.46,256.43,259.97,
twitter,entropy-sublinear-ae-is,0.29935083535421125,roberta,266.45,220.39,224.92,225.86,262.16,258.00,186.72,224.65,227.13,231.10,
twitter,gmm-is,0.29985866588116056,roberta,242.64,238.78,239.11,201.18,238.76,238.80,200.01,239.07,201.35,239.08,
twitter,no-is,0.0,modernbert,359.20,428.11,357.27,428.94,428.63,357.70,357.65,358.42,357.55,358.38,
twitter,no-is,0.0,roberta,278.99,281.81,278.04,334.51,333.21,334.53,333.09,336.97,277.96,278.28,
twitter,sublinear-ae-is,0.24986899405640747,modernbert,328.33,271.83,326.37,271.78,273.33,272.31,324.91,272.13,272.55,325.01,
twitter,sublinear-ae-is,0.24986899405640747,roberta,241.70,240.63,243.22,240.54,240.77,201.62,240.50,279.73,201.69,203.46,
