dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
twitter,biois,0.30336812738230734,roberta,196.89,235.23,236.59,234.84,273.56,196.43,234.57,196.47,237.08,196.15,
twitter,entropy-sublinear-ae-is,0.29935083535421125,roberta,266.45,220.39,224.92,225.86,262.16,258.00,186.72,224.65,227.13,231.10,
twitter,gmm-is,0.29985866588116056,roberta,242.64,238.78,239.11,201.18,238.76,238.80,200.01,239.07,201.35,239.08,
twitter,no-is,0.0,roberta,278.99,281.81,278.04,334.51,333.21,334.53,333.09,336.97,277.96,278.28,
twitter,sublinear-ae-is,0.3498801089481283,roberta,279.61,209.38,243.37,209.67,175.47,209.38,209.33,211.42,277.38,175.58,
vader_movie,adaptive-cluster-is,0.4217244898181104,roberta,344.26,285.06,253.11,254.95,305.78,284.85,248.29,245.98,263.39,301.66,
vader_movie,adaptive-perplexity,0.36686231916090994,roberta,274.53,267.59,271.36,319.96,322.81,266.95,272.78,269.76,270.57,270.33,
vader_movie,autoencoder-is,0.299899064683082,roberta,301.46,358.88,301.00,301.66,300.33,358.90,300.92,300.64,358.89,360.35,
vader_movie,biois,0.3312831184672829,roberta,282.64,337.65,336.96,281.24,281.27,337.83,281.46,339.43,338.40,337.74,
vader_movie,entropy-sublinear-ae-is,0.27642141763870653,roberta,351.95,353.92,280.85,362.88,344.20,295.60,347.92,294.00,288.53,302.49,
vader_movie,gmm-is,0.299899064683082,roberta,367.50,366.13,366.37,307.73,307.52,307.71,366.27,307.67,366.97,307.77,
vader_movie,no-is,0.0,roberta,420.13,418.88,419.26,419.15,419.33,419.10,503.06,419.51,419.31,502.36,
vader_movie,sublinear-ae-is,0.34984018261548144,roberta,265.99,264.17,315.02,263.98,263.95,263.86,263.83,263.85,263.82,266.85,
webkb,adaptive-cluster-is,0.4251458711508005,roberta,234.54,273.98,270.88,231.65,264.26,225.00,274.80,269.41,296.64,272.19,
webkb,adaptive-perplexity,0.4052255877437614,roberta,238.06,237.67,274.16,318.51,235.54,274.57,236.51,237.79,238.47,237.16,
webkb,autoencoder-is,0.2998604117436791,roberta,281.72,279.93,325.54,279.89,280.16,279.92,325.80,325.36,325.26,279.85,
webkb,biois,0.3849385269690523,roberta,249.89,249.06,248.45,208.68,210.05,246.95,286.27,249.23,248.92,249.32,
webkb,entropy-sublinear-ae-is,0.29645883906215664,roberta,353.68,311.14,355.41,307.44,305.95,265.77,307.20,315.71,306.46,306.80,
webkb,gmm-is,0.2998604117436791,roberta,331.42,282.11,327.79,282.15,282.03,282.06,285.04,282.22,327.94,282.28,
webkb,no-is,0.0,roberta,457.76,457.21,456.39,457.46,391.85,457.05,392.46,327.28,457.07,456.90,
webkb,sublinear-ae-is,0.34998848137241384,roberta,286.56,285.49,248.01,248.03,367.56,245.67,245.77,285.62,286.04,287.49,
wos11967,adaptive-cluster-is,0.39889316691446053,roberta,480.25,409.62,459.76,353.12,412.52,410.87,353.71,469.96,347.44,405.25,
wos11967,adaptive-perplexity,0.37827155640851706,roberta,415.33,471.41,427.16,418.67,427.52,422.47,426.00,411.47,362.47,413.68,
wos11967,autoencoder-is,0.2998987963053238,roberta,411.06,476.03,408.81,475.05,408.23,543.09,408.69,475.06,476.24,409.40,
wos11967,biois,0.3679191787639132,roberta,437.75,434.75,373.64,433.66,434.13,433.46,373.27,435.71,432.67,373.02,
wos11967,entropy-sublinear-ae-is,0.1849622249020225,roberta,531.21,438.90,444.52,524.56,526.04,445.90,454.22,586.48,521.34,519.14,
wos11967,gmm-is,0.2998987963053238,roberta,411.85,475.30,541.89,408.63,476.23,476.36,475.66,475.96,478.33,409.32,
wos11967,no-is,0.0,roberta,574.54,574.62,572.03,668.76,572.54,570.28,571.41,572.75,572.39,576.26,
wos11967,sublinear-ae-is,0.3499159698999178,roberta,418.49,359.13,358.64,416.85,417.02,417.31,361.35,418.75,416.98,358.77,
wos5736,adaptive-cluster-is,0.4093641701304614,roberta,194.11,162.42,191.07,166.34,197.35,165.23,196.84,165.50,169.59,193.09,
wos5736,adaptive-perplexity,0.4082014922589825,roberta,192.12,191.16,164.11,165.89,220.95,192.19,189.55,192.65,196.03,162.99,
wos5736,autoencoder-is,0.2998605326863431,roberta,230.10,259.68,195.91,196.63,196.02,227.73,229.20,228.40,227.99,260.13,
wos5736,biois,0.3553192203068011,roberta,182.69,180.37,180.44,240.52,239.04,210.74,180.57,239.50,180.08,180.21,
wos5736,entropy-sublinear-ae-is,0.2377768024696333,roberta,236.79,211.21,234.28,233.95,231.51,238.94,235.31,203.07,298.20,237.95,
wos5736,gmm-is,0.2998605326863431,roberta,233.93,168.92,203.20,200.27,264.74,233.52,200.30,265.20,265.42,233.99,
wos5736,no-is,0.0,roberta,321.07,276.80,274.21,228.50,274.28,274.13,274.39,230.63,275.36,319.52,
wos5736,sublinear-ae-is,0.3497597687716738,roberta,233.08,228.82,256.74,228.83,203.43,201.51,228.81,200.83,200.80,173.00,
yelp_reviews,adaptive-cluster-is,0.44566666666666666,roberta,116.35,161.50,156.80,121.01,143.50,197.87,161.32,180.50,110.78,134.14,
yelp_reviews,adaptive-perplexity,0.3940444444444444,roberta,170.61,220.16,120.78,147.16,146.27,170.05,150.13,170.63,170.59,147.44,
yelp_reviews,autoencoder-is,0.3,roberta,199.37,170.54,254.20,143.33,254.08,199.65,170.70,198.50,170.44,142.93,
yelp_reviews,biois,0.2713333333333333,roberta,175.22,203.04,174.32,174.04,202.83,174.01,174.44,231.73,147.61,204.11,
yelp_reviews,entropy-sublinear-ae-is,0.3209777777777778,roberta,158.24,205.46,157.98,155.08,133.99,208.50,182.77,188.54,155.61,156.55,
yelp_reviews,gmm-is,0.3,roberta,202.83,173.83,174.88,173.85,173.68,146.08,229.45,201.54,145.88,229.90,
yelp_reviews,no-is,0.0,roberta,282.02,280.63,198.88,396.99,238.64,239.81,400.98,238.80,319.22,238.64,
yelp_reviews,sublinear-ae-is,0.34946666666666665,roberta,151.84,152.17,175.22,201.10,150.84,223.13,152.72,150.45,174.73,128.79,
