dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
sst2,gmm-is,0.2999410528891098,roberta,0.9312070938,0.9208871306,0.9385578336,0.9364779568,0.9145166189,0.9344251109,0.9218466209,0.9312946835,0.9458469514,0.9405384399,
sst2,no-is,0.0,roberta,0.9281899270,0.9323528298,0.9355038237,0.9333142505,0.9323266565,0.9406363894,0.9343611260,0.9302374464,0.9385606467,0.9332928416,
sst2,perplexity-is,0.2999410528891098,roberta,0.9207482049,0.9271089058,0.9322419957,0.9333500941,0.9291463912,0.9156411849,0.9228122504,0.9322870427,0.9384766462,0.9299895507,
subj,adaptive-perplexity,0.4124333333333333,roberta,0.9649940840,0.9669997030,0.9639907816,0.9719989920,0.9669991750,0.9659965997,0.9649996850,0.9609999610,0.9649999650,0.9569999570,
subj,adaptive-v2-perplexity,0.3869222222222222,roberta,0.9579831933,0.9609980889,0.9659965997,0.9769988729,0.9589907729,0.9639976959,0.9609968407,0.9619986320,0.9740000000,0.9579939511,
subj,autoencoder-is,0.3,roberta,0.9609756098,0.9609934079,0.9739973997,0.9719887955,0.9669997030,0.9649982849,0.9599998400,0.9579831933,0.9660000000,0.9549988750,
subj,biois,0.30741111111111113,roberta,0.9699998800,0.9659965997,0.9659998640,0.9679937268,0.9629970028,0.9639987040,0.9659998640,0.9529976969,0.9639987040,0.9469846786,
subj,gmm-is,0.3,roberta,0.9689997210,0.9699995200,0.9689930234,0.9789994750,0.9660000000,0.9729997570,0.9669999670,0.9489774991,0.9729986769,0.9489681051,
subj,no-is,0.0,roberta,0.9649982849,0.9679998720,0.9699980799,0.9759965435,0.9720000000,0.9709999710,0.9689992250,0.9649999650,0.9619925505,0.9619945272,
subj,perplexity-is,0.3,roberta,0.9639976959,0.9659978239,0.9640000000,0.9709999710,0.9669991750,0.9689974888,0.9659978239,0.9649991250,0.9679994880,0.9519567611,
trec,adaptive-perplexity,0.41173833542705773,roberta,0.9279526693,0.9614436417,0.9330914892,0.9418409095,0.9262966437,0.9449908658,0.9410949757,0.9457822172,0.9452927559,0.9592154499,
trec,adaptive-v2-perplexity,0.37666144385707395,roberta,0.9443726666,0.9252055704,0.9425911200,0.9389723532,0.9395185424,0.9274168077,0.9429139807,0.9256782837,0.9451402626,0.9375765125,
